id,desc,long,lat
1,north germany,10.759842672028423,53.05956528560046
2,north spain,-3.393414706225977,42.473358773892144
3,east spain,-1.9308855237939204,39.48465748501046
4,north west france,-2.9717703998811307,48.15979113305688
5,north france amiens,2.6345188825736057,49.958730981366074
6,france seine champagne,4.081240554428788,48.692009861891016
7,north uk onshore,-3.667781571994291,55.61272643500888
8,east uk offshore,1.3666549330713798,52.4575632483261
9,west uk offshore,-3.293133439530259,53.762357422695025
9,north sea west denmark,6.441811772446011,56.30557704324647
10,north sea north germany,6.4531980836395455,54.22293667821339
11,east austria,16.340578674671058,48.21297355479363
12,south italy napoli,15.175596899366024,41.15326979378446
13,republic of ireland,-8.073865663446025,53.05459701792159
